dish_name,calories_kcal,nutrients,ingredients,user_inputs
Braised Pork Belly (Hong Shao Rou),480,Protein 30g / Fat 22g / Carbs 50g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, comfort, quick_bite"
Mapo Tofu,280,Protein 21g / Fat 10g / Carbs 38g / Fiber 3g,"garlic, mushroom, seasonal vegetables, soy sauce, tofu","adventurous, anytime, energized"
Poached Spicy Beef (Shuizhu),420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"beef, chili, garlic, ginger, onion, soy sauce","adventurous, anytime, celebration, energized, treat-yourself"
Kung Pao Chicken,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","adventurous, anytime, energized"
Yu Xiang Shredded Pork,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, comfort, quick_bite"
Twice-cooked Pork,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, comfort, quick_bite"
Scallion Oil Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
Xiao Long Bao (Soup Dumplings),240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, salt, scallion","afternoon_tea, anytime, breakfast, brunch, budget, cold_day, comfort, cozy, dinner, homesick, lunch, quick_bite, rainy_day, sad, solo, street_food"
Shengjian Bao (Pan-fried Pork Buns),450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","afternoon_tea, anytime, breakfast, brunch, budget, quick_bite, solo, street_food"
Crab Roe Xiao Long Bao,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","afternoon_tea, anytime, breakfast, brunch, budget, quick_bite, solo, street_food"
Jianbing (Chinese Crepe),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, budget, comfort, quick_bite, solo, street_food"
Scallion Pancake,500,Protein 13g / Fat 24g / Carbs 70g / Fiber 3g,"butter, cream, egg, flour, milk, sugar","anytime, breakfast, brunch, celebratory, happy, lazy, sad, treat-yourself"
Hot Dry Noodles (Re Gan Mian),360,Protein 19g / Fat 8g / Carbs 60g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
Lanzhou Beef Noodles,540,Protein 43g / Fat 20g / Carbs 70g / Fiber 3g,"beef, chili, egg, garlic, ginger, onion, sesame oil, soy sauce, wheat noodles","anytime, celebration, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day, treat-yourself"
Knife-cut Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
